"","yp","Street"
"460",-2.98616864975533,"1005-A GARRISON ST"
"461",-2.98616864975533,"1005-A GARRISON ST"
"462",-2.98616864975533,"1005-A GARRISON ST"
"463",-2.98616864975533,"1005-A GARRISON ST"
"464",-2.98616864975533,"1005-A GARRISON ST"
"465",-2.98616864975533,"1005-A GARRISON ST"
"466",-2.32250384726721,"1005-B ROBERTS LN"
"467",-2.32250406527674,"1005-B ROBERTS LN"
"468",-2.32250428328627,"1005-B ROBERTS LN"
"469",-2.3225045012958,"1005-B ROBERTS LN"
"470",-2.32250471930533,"1005-B ROBERTS LN"
"471",-2.32250493731487,"1005-B ROBERTS LN"
"472",-2.3225051553244,"1005-B ROBERTS LN"
"473",-3.00235178310774,"1005-B ROBERTS LN"
"474",-3.00235172430236,"1005-B ROBERTS LN"
"475",-3.00235166549699,"1005-B ROBERTS LN"
"476",-3.00235160669161,"1005-B ROBERTS LN"
"477",-3.00235154788623,"1005-B ROBERTS LN"
"478",-3.00235148908086,"1005-B ROBERTS LN"
"479",-3.00235143027548,"1005-B ROBERTS LN"
"480",-2.62570664760897,"1005-B ROBERTS LN"
"481",-2.6257068656185,"1005-B ROBERTS LN"
"482",-2.62570708362804,"1005-B ROBERTS LN"
"483",-2.62570730163757,"1005-B ROBERTS LN"
"484",-2.6257075196471,"1005-B ROBERTS LN"
"485",-2.74495418153383,"1006 LEONARD AV"
"486",-2.74495415329271,"1006 LEONARD AV"
"487",-2.74495412505159,"1006 LEONARD AV"
"488",-2.74495409681048,"1006 LEONARD AV"
"489",-2.74495406856936,"1006 LEONARD AV"
"490",-2.74495404032824,"1006 LEONARD AV"
"491",-2.59279176912398,"1006 LEONARD AV"
"492",-2.44062978151443,"1006 LEONARD AV"
"493",-2.44062975327331,"1006 LEONARD AV"
"494",-2.44062972503219,"1006 LEONARD AV"
"495",-2.44062969679107,"1006 LEONARD AV"
"496",-2.44062966854996,"1006 LEONARD AV"
"497",-2.44062964030884,"1006 LEONARD AV"
"498",-2.44062961206772,"1006 LEONARD AV"
"499",-2.4406295838266,"1006 LEONARD AV"
"500",-2.44062955558549,"1006 LEONARD AV"
"501",-2.44062952734437,"1006 LEONARD AV"
"502",-2.562643468887,"1006 LEONARD AV"
"503",-2.56264344064588,"1006 LEONARD AV"
"504",-3.03932665980469,"1006 N COLLEGE DR"
"505",-3.03932660099931,"1006 N COLLEGE DR"
"506",-3.03932654219393,"1006 N COLLEGE DR"
"507",-3.03932648338855,"1006 N COLLEGE DR"
"508",-2.39362913743426,"1006 N COLLEGE DR"
"509",-2.39362938600805,"1006 N COLLEGE DR"
"510",-2.39362963458184,"1006 N COLLEGE DR"
"511",-2.39362988315563,"1006 N COLLEGE DR"
"512",-2.39363013172942,"1006 N COLLEGE DR"
"513",-2.39363038030321,"1006 N COLLEGE DR"
"514",-2.98616864975533,"1006 N COLLEGE DR"
"515",-2.98616864975533,"1006 N COLLEGE DR"
"516",-2.98616864975533,"1006 N COLLEGE DR"
"517",-2.98616864975533,"1006 N COLLEGE DR"
"518",-2.98616864975533,"1006 N COLLEGE DR"
"519",-2.98616864975533,"1006 N COLLEGE DR"
"520",-2.98616864975533,"1006 N COLLEGE DR"
"521",-2.98616864975533,"1006 N COLLEGE DR"
"522",-2.98616864975533,"1006 N COLLEGE DR"
"523",-2.5360207219316,"1006-A ANDERSON PL"
"524",-2.65803463290997,"1006-A ANDERSON PL"
"525",-2.65803457410459,"1006-A ANDERSON PL"
"526",-2.65803451529921,"1006-A ANDERSON PL"
